Students	500
446	89 80 56 1
447	99 12 111 89
448	74 57 21 14
449	53 88 71 41
450	125 112 123 25
451	22 28 40 2
452	92 96 119 45
453	109 111 10 13
454	84 76 14 107
455	10 61 135 6
456	80 83 75 2
457	44 31 134 1
458	58 17 97 107
459	75 49 81 55
460	34 25 76 45
461	86 137 106 71
462	57 50 105 140
463	57 12 75 106
464	121 65 99 9
465	102 119 27 56
466	73 15 52 116
467	57 42 119 131
468	77 38 123 33
469	139 32 3 74
470	106 45 109 35
471	84 55 5 117
472	56 12 40 30
473	33 45 106 89
474	84 132 117 12
475	4 5 131 43
476	64 7 133 79
477	49 60 61 41
478	24 79 43 117
479	99 77 9 126
480	36 58 82 27
481	110 126 57 95
482	124 20 34 138
483	94 82 3 95
484	92 97 49 11
485	96 78 54 6
486	89 122 137 15
487	48 132 108 28
488	17 2 93 25
489	46 55 59 131
490	31 125 56 16
491	56 127 43 105
492	69 39 119 101
493	13 109 85 115
494	87 70 104 130
495	126 85 1 5
496	97 74 133 55
497	104 23 28 111
498	87 48 29 25
499	110 54 23 17
500	50 35 90 49
